GraphQL mutation/query,postman request name,test details,expected result
createPartnerOrg (mutation),goodCreatePartnerOrg,create a partner org with an valid site admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid admin id (88c150cc-1235-4523-9224-65caafa935eb), returns id
addPartnerOrgAdmin (mutation),invalidOrgAdminAddPartnerOrgAdmin,add partner org admin with all invalid ids (bad-id), returns false
addPartnerOrgAdmin (mutation),badOrgAdminAddPartnerOrgAdmin,add partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and new admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and unconnected org id (f27e212e-76c2-4977-8fd5-9b5367a31b68), returns false
addPartnerOrgAdmin (mutation),badNewAdminAddPartnerOrgAdmin,add partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but invalid new admin id (bad-id), returns false
addPartnerOrgAdmin (mutation),goodAddPartnerOrgAdmin,add partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
addPartnerOrgAdmin (mutation),goodSiteAdminAddPartnerOrgAdmin,add partner org admin with valid site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
removePartnerOrgAdmin (mutation),invalidOrgAdminRemovePartnerOrgAdmin,remove partner org admin with all invalid ids (bad-id), returns false
removePartnerOrgAdmin (mutation),badOrgAdminRemovePartnerOrgAdmin,remove partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and new admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and unconnected org id (f27e212e-76c2-4977-8fd5-9b5367a31b68), returns false
removePartnerOrgAdmin (mutation),badNewAdminRemovePartnerOrgAdmin,remove partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but invalid new admin id (bad-id), returns true
removePartnerOrgAdmin (mutation),goodRemovePartnerOrgAdmin,remove partner org admin with valid org admin (88c150cc-1235-4523-9224-65caafa935eb) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
removePartnerOrgAdmin (mutation),goodSiteAdminRemovePartnerOrgAdmin,remove partner org admin with valid org admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid org id (3ab3107d-09bc-44cd-b73b-0dfd17bd7576) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
researchProject (query),invalidResearchProject,query non-existant research project (bad-id), returns null
researchProject (query),goodResearchProject,query existant research project (88a21a78-ef83-4091-baec-835f61391fb3), returns project info
createResearchProject (mutation),badAdminCreateResearchProject,create a research project with an invalid site admin id (88c150cc-1235-4523-9224-65caafa935eb), returns null
createResearchProject (mutation),invalidAdminCreateResearchProject,create a research project with an invalid site admin id (bad-id), returns null
createResearchProject (mutation),invalidUserCreateResearchProject,create a research project with an valid site admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and invalid admin id (bad id), returns null
createResearchProject (mutation),goodCreateResearchProject,create a research project with an valid site admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid admin id (88c150cc-1235-4523-9224-65caafa935eb), returns id
addPartnerOrg (mutation),invalidUserAddPartnerOrg,add a partner to an project without a valid id (bad id), returns false
addPartnerOrg (mutation),invalidAdminAddPartnerOrg,add a partner to an project without a valid admin or site admin id (88c150cc-1235-4523-9224-65caafa935eb) for the project (88a21a78-ef83-4091-baec-835f61391fb3), returns false
addPartnerOrg (mutation),invalidPartnerOrgAddPartnerOrg,add a partner to an project with a valid admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) project id (88a21a78-ef83-4091-baec-835f61391fb3) and invalid partnerOrg id (bad id), returns false
addPartnerOrg (mutation),goodAddPartnerOrg,add a partner to an project with a valid admin/site admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) project id (88a21a78-ef83-4091-baec-835f61391fb3) and valid partnerOrg id (4455c019-a941-4ad3-806f-ebb0cf1a2ffb), returns true
addResearchProjectAdmin (mutation),invalidAdminAddResearchProjectAdmin,add research project admin with all invalid ids (bad-id), returns false
addResearchProjectAdmin (mutation),badAdminAddResearchProjectAdmin,add research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and new admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and unconnected project id (4455c019-a941-4ad3-806f-ebb0cf1a2ffb), returns false
addResearchProjectAdmin (mutation),badNewAdminAddResearchProjectAdmin,add research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) but invalid new admin id (bad-id), returns false
addResearchProjectAdmin (mutation),goodAddResearchProjectAdmin,add research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) and valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
addResearchProjectAdmin (mutation),goodSiteAdminAddResearchProjectAdmin,add research project admin with valid site admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) and valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
removeResearchProjectAdmin (mutation),invalidRemoveAdminRemoveResearchProjectAdmin,remove research project admin with all invalid ids (bad-id), returns false
removeResearchProjectAdmin (mutation),badUserAdminRemoveResearchProjectAdmin,remove research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and remove admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and unconnected project id (4455c019-a941-4ad3-806f-ebb0cf1a2ffb), returns false
removeResearchProjectAdmin (mutation),badRemoveAdminRemoveResearchProjectAdmin,remove research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) but invalid remove admin id (bad-id), returns true
removeResearchProjectAdmin (mutation),goodRemoveResearchProjectAdmin,remove research project admin with valid project admin (88c150cc-1235-4523-9224-65caafa935eb) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
removeResearchProjectAdmin (mutation),goodSiteAdminRemoveResearchProjectAdmin,remove research project admin with valid project admin (402a8052-9c4d-496e-bd17-d25f3d0c2bf7) and valid project id (88a21a78-ef83-4091-baec-835f61391fb3) but valid new admin id (402a8052-9c4d-496e-bd17-d25f3d0c2bf7), returns true
